Año,Región,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos graves,Lesionados Leves,Total lesionados,Parque Vehicular,Poblacion,Siniestros por parque vehicular (por 10000 vehiculos),Siniestros por cantidad de habitantes (por 100000 habitantes),Fallecidos por parque vehicular (por 10000 vehiculos),Fallecidos por cantidad de habitantes (por 100000 habitantes),Lesionados por parque vehicular (por 10000 vehiculos),Lesionados por cantidad de habitantes (por 100000 habitantes)
2007,Los Ríos,726,42,156,143,872,1171,45294,354573,"160,286130613326","204,753323011058","9,27275135779573","11,8452335626232","258,533139047114","330,256392900757"
2007,Los Lagos,1771,80,398,231,1587,2216,114177,765365,"155,110048433572","231,392864842265","7,00666509016702","10,4525291854213","194,084622997627","289,535058436171"
2007,Aysén,437,13,55,57,283,395,16589,95379,"263,427572487793","458,172134327263","7,83651817469407","13,6298346596211","238,109590692628","414,137283888487"
2007,Magallanes,616,11,83,58,660,801,43473,156064,"141,697145354588","394,709862620463","2,53030616704621","7,04839040393685","184,252294527638","513,250973959401"
2007,Total,53682,1645,7374,4977,41659,54010,2824570,15935523,"190,053707289959","336,87002302968","5,82389531857947","10,3228491465263","191,214945991779","338,928317570751"
2008,Arica y Parinacota,981,48,114,125,665,904,42354,194973,"231,619209519762","503,146589527781","11,3330500070832","24,6187933713899","213,439108466733","463,653941827843"
2008,Tarapacá,1105,63,198,160,1154,1512,76806,284831,"143,868968570164","387,949345401308","8,20248418092337","22,1183789685814","196,859620342161","530,841095245953"
2008,Antofagasta,2316,80,305,240,1792,2337,113944,539404,"203,257740644527","429,362778177396","7,02099276837745","14,8311840475784","205,100751246226","433,255963989885"
2008,Atacama,957,50,215,136,1293,1644,56061,267068,"170,706908546048","358,33570476433","8,91885624587503","18,7218236553986","293,251993364371","615,573561789507"
2008,Coquimbo,1830,65,248,221,1700,2169,110845,664960,"165,095403491362","275,204523580366","5,8640443863052","9,77502406159769","195,67865036763","326,185033686237"
2008,Valparaíso,6753,131,817,438,5022,6277,307010,1650270,"219,96026188072","409,205766329146","4,26696198820885","7,93809497839747","204,455880915931","380,362001369473"
2008,Metropolitana,23205,418,2381,1555,13262,17198,1291838,6481836,"179,62778614656","358,000418399972","3,23569983233192","6,44879012674804","133,128147646996","265,326058851227"
2008,L.B.O´Higgins,2429,132,422,345,2356,3123,163045,834198,"148,977276212089","291,177873838106","8,09592443803858","15,8235814518855","191,542212272685","374,371552077564"
2008,Maule,4756,189,584,397,3345,4326,186455,962837,"255,074951060578","493,956921057251","10,136494060229","19,6294907653113","232,013086267464","449,29723307268"
2008,Biobio,5685,282,1028,698,5835,7561,309889,1931900,"183,452784706782","294,269889745846","9,10003259231531","14,5970288317201","243,990590179064","391,376365236296"
2008,Araucanía,3149,155,511,310,2571,3392,123439,904609,"255,105760740123","348,106198368577","12,5568094362398","17,1344746735883","274,791597469195","374,968632856848"
2008,Los Ríos,817,55,135,122,845,1102,50106,357599,"163,054324831358","228,468200414431","10,9767293338123","15,3803562090498","219,933740470203","308,166409861325"
2008,Los Lagos,2022,83,377,244,1790,2411,128003,771699,"157,965047694195","262,019258804275","6,48422302602283","10,7554888628857","188,354960430615","312,427513836353"
2008,Aysén,422,9,42,36,310,388,17992,96157,"234,548688305914","438,865605208149","5,0022232103157","9,35969300206953","215,651400622499","403,506764978109"
2008,Magallanes,660,22,111,92,739,942,45263,157112,"145,814462143473","420,082488925098","4,86048207144909","14,0027496308366","208,11700505932","599,57227964764"
2008,Total,57087,1782,7488,5119,42679,55286,3023050,16099361,"188,839086353186","354,591713298435","5,89470898595789","11,0687622943544","182,881526934718","343,404933897687"
2009,Arica y Parinacota,884,28,112,110,668,890,46360,198427,"190,681622088007","445,503888079747","6,03968938740293","14,110982880354","191,97584124245","448,527670125537"
2009,Tarapacá,1103,25,86,80,1054,1220,82764,289912,"133,270504083901","380,460277601479","3,02063699192886","8,62330638262645","147,407085206128","420,817351472171"
2009,Antofagasta,2480,77,324,201,2302,2827,116810,546974,"212,31058984676","453,40363527334","6,59190137830665","14,0774515790513","242,016950603544","516,843579402312"
2009,Atacama,561,45,138,70,744,952,58440,269190,"95,9958932238193","208,402986737992","7,70020533880904","16,7168171180207","162,90212183436","353,65355325235"
2009,Coquimbo,1806,65,234,235,1795,2264,118835,675252,"151,975428114613","267,45570542553","5,4697690074473","9,62603590955673","190,516262044011","335,282235372868"
2009,Valparaíso,6662,134,714,387,5111,6212,323217,1668673,"206,115396157999","399,239395615558","4,14582153785228","8,03033308503224","192,192861142824","372,271859135972"
2009,Metropolitana,21680,355,2154,1108,11646,14908,1325367,6551944,"163,577333674371","330,894159046536","2,67850338811816","5,41823922792991","112,48205214103","227,535522281631"
2009,L.B.O´Higgins,3243,111,408,346,2347,3101,169362,843127,"191,48333156198","384,639562011417","6,55400857335176","13,1652764055712","183,098924197872","367,797496699785"
2009,Maule,4853,160,500,353,3295,4148,194227,971961,"249,862274555031","499,299869027667","8,23778362431588","16,4615658447201","213,564540460389","426,766094524369"
2009,Biobio,6205,232,1004,720,5698,7422,321364,1943623,"193,083232720529","319,249154800082","7,21922804047747","11,9364712189555","230,953062570792","381,86417839262"
2009,Araucanía,2837,130,472,315,2546,3333,128324,910455,"221,081013684112","311,602440537973","10,1306069012811","14,2785749982152","259,733175399769","366,080695915778"
2009,Los Ríos,764,56,147,130,1003,1280,53459,360626,"142,913260629641","211,85383194778","10,4753175330627","15,5285531270624","239,435829327148","354,938357189997"
2009,Los Lagos,1956,71,340,229,1818,2387,133474,778033,"146,545394608688","251,403218115427","5,31938804561188","9,12557693568268","178,836327674304","306,799325992599"
2009,Aysén,185,10,38,23,260,321,19749,96934,"93,6756291457795","190,851507211092","5,06354752139349","10,3162976870861","162,539875436731","331,153155755463"
2009,Magallanes,1111,9,77,70,763,910,47336,158160,"234,70508703735","702,453211937279","1,90130133513605","5,69044006069803","192,242690552645","575,366717248356"
2009,Total,56330,1508,6748,4377,41050,52175,3139088,16263199,"179,447024103816","346,364820352995","4,80394305607234","9,27246847314603","166,210695590566","320,816341237662"
2010,Arica y Parinacota,598,28,87,70,444,601,50735,201882,"117,867349955652","296,212639066385","5,51887257317434","13,8694881168207","118,458657731349","297,69865565033"
2010,Tarapacá,871,32,142,110,957,1209,90276,294992,"96,4818999512606","295,262244399848","3,54468518764677","10,8477518034387","133,92263724578","409,84162282367"
2010,Antofagasta,1938,67,250,154,1883,2287,128124,554544,"151,259717149012","349,476326495283","5,22930910680279","12,0819989036037","178,498954138179","412,410917799129"
2010,Atacama,649,26,131,78,725,934,62509,271312,"103,825049192916","239,207996697529","4,15940104624934","9,58306304181164","149,418483738342","344,253110809695"
2010,Coquimbo,1947,75,317,224,2016,2557,128816,685544,"151,145820394982","284,008028660451","5,82225810458328","10,9402168205104","198,500186312259","372,988458800602"
2010,Valparaíso,7023,134,785,441,5196,6422,335627,1687076,"209,250149719778","416,282372578354","3,99252741883102","7,94273642681183","191,343366296514","380,658606962579"
2010,Metropolitana,21675,417,2016,1117,12379,15512,1406403,6622053,"154,116565451012","327,315411096831","2,9650107401648","6,29714078096325","110,295555399128","234,247596629021"
2010,L.B.O´Higgins,3408,134,429,361,2195,2985,184421,852055,"184,794573286123","399,974180070535","7,26598380878533","15,7266843102851","161,857922904658","350,329497508964"
2010,Maule,4541,165,490,340,2827,3657,226794,981084,"200,225755531451","462,855372220931","7,27532474404085","16,818131780765","161,247652054287","372,75095710459"
2010,Biobio,6127,230,1056,680,5856,7592,351884,1955346,"174,119880415137","313,346077880846","6,53624489888713","11,7626241084698","215,75291857544","388,268879267403"
2010,Araucanía,3514,130,522,278,2692,3492,139550,916301,"251,809387316374","383,498435557748","9,3156574704407","14,187477695648","250,232891436761","381,097477793869"
2010,Los Ríos,993,35,152,141,1084,1377,58185,363652,"170,66254189224","273,063258279894","6,0152960384979","9,62458614279586","236,658932714617","378,65871767514"
2010,Los Lagos,2585,96,384,228,2279,2891,140488,784367,"184,001480553499","329,565114289612","6,83332384260577","12,2391686544691","205,782700301805","368,577464375732"
2010,Aysén,618,8,50,35,379,464,21561,97712,"286,628635035481","632,470934992631","3,7104030425305","8,18732601932209","215,203376466769","474,864909120681"
2010,Magallanes,1259,18,88,64,832,984,50150,159208,"251,046859421735","790,789407567459","3,58923230309073","11,3059645243958","196,211365902293","618,059394000302"
2010,Total,57746,1595,6899,4321,41744,52964,3375523,16427037,"171,072749319143","351,530224227291","4,72519369591023","9,70960252905013","156,906055743066","322,41967921543"
2011,Arica y Parinacota,1018,33,99,80,679,858,54494,205336,"186,809557015451","495,77278217166","6,0557125555107","16,0712198542876","157,448526443278","417,851716211478"
2011,Tarapacá,1000,56,153,119,869,1141,99681,300073,"100,320020866564","333,252241954458","5,6179211685276","18,6621255494496","114,46514380875","380,240808070036"
2011,Antofagasta,2186,87,260,146,1851,2257,130105,562114,"168,018139195265","388,889086555396","6,68690672918028","15,4772875253063","173,475269974252","401,519976374899"
2011,Atacama,770,53,127,89,925,1141,71254,273434,"108,064108681618","281,603604526138","7,43817890925422","19,3831052466043","160,131361046397","417,285341252368"
2011,Coquimbo,2293,73,263,197,1969,2429,144657,695835,"158,512896023006","329,532144833186","5,04642015249867","10,4909928359453","167,914445896154","349,077008198783"
2011,Valparaíso,7724,151,746,499,5459,6704,365657,1705479,"211,236213172454","452,893292734768","4,12955310577946","8,85381760783921","183,341218683083","393,086047966583"
2011,Metropolitana,23520,360,2008,1200,12341,15549,1513678,6692162,"155,383113185235","351,455927097999","2,37831295691686","5,37942745558162","102,723300464167","232,346437518996"
2011,L.B.O´Higgins,3542,135,389,305,2099,2793,199126,860984,"177,877323905467","411,389758694703","6,77962696985828","15,6797338858794","140,262949087512","324,396272172305"
2011,Maule,4390,148,440,298,2892,3630,244369,990208,"179,646354488499","443,341197001034","6,05641468435031","14,946354705274","148,545846649943","366,589645811789"
